Month,Zipcode,Crime rate per 1000
07/2021,85287,0.11
07/2021,85288,0.11
07/2021,85289,0.11
08/2021,85280,0.43
08/2021,85281,0.43
08/2021,85282,0.43
08/2021,85283,0.43
08/2021,85284,0.43
08/2021,85285,0.43
08/2021,85287,0.43
08/2021,85288,0.43
08/2021,85289,0.43
09/2021,85280,0.69
09/2021,85281,0.69
09/2021,85282,0.69
09/2021,85283,0.69
09/2021,85284,0.69
09/2021,85285,0.69
09/2021,85287,0.69
09/2021,85288,0.69
09/2021,85289,0.69
10/2021,85280,0.77
10/2021,85281,0.77
10/2021,85282,0.77
10/2021,85283,0.77
10/2021,85284,0.77
10/2021,85285,0.77
10/2021,85287,0.77
10/2021,85288,0.77
10/2021,85289,0.77
11/2021,85280,0.39
11/2021,85281,0.39
11/2021,85282,0.39
11/2021,85283,0.39
11/2021,85284,0.39
11/2021,85285,0.39
11/2021,85287,0.39
11/2021,85288,0.39
11/2021,85289,0.39
12/2021,85280,0.65
12/2021,85281,0.65
12/2021,85282,0.65
12/2021,85283,0.65
12/2021,85284,0.65
12/2021,85285,0.65
12/2021,85287,0.65
12/2021,85288,0.65
12/2021,85289,0.65
01/2022,85280,0.58
01/2022,85281,0.58
01/2022,85282,0.58
01/2022,85283,0.58
01/2022,85284,0.58
01/2022,85285,0.58
01/2022,85287,0.58
01/2022,85288,0.58
01/2022,85289,0.58
02/2022,85280,0.75
02/2022,85281,0.75
02/2022,85282,0.75
02/2022,85283,0.75
02/2022,85284,0.75
02/2022,85285,0.75
02/2022,85287,0.75
02/2022,85288,0.75
02/2022,85289,0.75
03/2022,85280,0.74
03/2022,85281,0.74
03/2022,85282,0.74
03/2022,85283,0.74
03/2022,85284,0.74
03/2022,85285,0.74
03/2022,85287,0.74
03/2022,85288,0.74
03/2022,85289,0.74
04/2022,85280,0.77
04/2022,85281,0.77
04/2022,85282,0.77
04/2022,85283,0.77
04/2022,85284,0.77
04/2022,85285,0.77
04/2022,85287,0.77
04/2022,85288,0.77
04/2022,85289,0.77
05/2022,85280,0.39
05/2022,85281,0.39
05/2022,85282,0.39
05/2022,85283,0.39
05/2022,85284,0.39
05/2022,85285,0.39
05/2022,85287,0.39
05/2022,85288,0.39
05/2022,85289,0.39
06/2022,85280,0.28
06/2022,85281,0.28
06/2022,85282,0.28
06/2022,85283,0.28
06/2022,85284,0.28
06/2022,85285,0.28
06/2022,85287,0.28
06/2022,85288,0.28
06/2022,85289,0.28
07/2022,85280,0.19
07/2022,85281,0.19
07/2022,85282,0.19
07/2022,85283,0.19
07/2022,85284,0.19
07/2022,85285,0.19
07/2022,85287,0.19
07/2022,85288,0.19
07/2022,85289,0.19
08/2022,85280,0.62
08/2022,85281,0.62
08/2022,85282,0.62
