Zipcode,Year,Crime rate per 1000
85341,2018,10.46
85341,2019,8.86
85341,2020,9.94
85341,2021,10.0
85341,2022,10.74
85341,2023,10.58
85342,2018,2.11
85342,2019,2.19
85342,2020,2.09
85342,2021,2.21
85342,2022,1.9
85342,2023,1.69
85343,2018,2.11
85343,2019,2.19
85343,2020,2.09
85343,2021,2.21
85343,2022,1.9
85343,2023,1.69
85344,2018,40.03
85344,2019,27.46
85344,2020,29.33
85344,2021,39.42
85344,2022,25.03
85344,2023,25.47
85345,2018,33.67
85345,2019,32.22
85345,2020,27.97
85345,2021,26.7
85345,2022,24.44
85345,2023,25.42
85346,2018,41.82
85346,2019,4.58
85346,2020,34.59
85346,2021,58.45
85346,2022,38.75
85346,2023,42.66
85349,2018,18.95
85349,2019,16.36
85349,2020,12.64
85349,2021,9.76
85349,2022,9.15
85349,2023,9.86
85350,2018,18.38
85350,2019,14.37
85350,2020,14.97
85350,2021,12.74
85350,2022,13.23
85350,2023,14.24
85351,2018,2.11
85351,2019,2.19
85351,2020,2.09
85351,2021,2.21
85351,2022,1.9
85351,2023,1.69
85353,2018,120.44
85353,2019,120.32
85353,2020,157.27
85353,2021,146.78
85353,2022,121.14
85353,2023,3.35
85354,2018,2.11
85354,2019,2.19
85354,2020,2.09
85354,2021,2.21
85354,2022,1.9
85354,2023,1.69
85355,2018,2.11
85355,2019,2.19
85355,2020,2.09
85355,2021,2.21
85355,2022,1.9
85355,2023,1.69
85356,2018,17.37
85356,2019,18.62
85356,2020,14.88
85356,2021,21.93
85356,2022,15.54
85356,2023,10.49
85358,2018,29.45
85358,2019,28.75
85358,2020,31.29
85358,2021,31.02
85358,2022,27.31
85358,2023,20.58
85359,2018,41.82
85359,2019,4.58
85359,2020,34.59
85359,2021,58.45
85359,2022,38.75
85359,2023,42.66
85360,2018,13.1
85360,2019,12.45
85360,2020,10.9
85360,2021,13.17
85360,2022,12.95
85360,2023,11.27
85361,2018,2.11
85361,2019,2.19
85361,2020,2.09
85361,2021,2.21
85361,2022,1.9
85361,2023,1.69
85362,2018,6.3
85362,2019,5.47
85362,2020,5.86
85362,2021,6.91
85362,2022,6.94
85362,2023,6.31
85363,2018,2.11
85363,2019,2.19
85363,2020,2.09
85363,2021,2.21
85363,2022,1.9
85363,2023,1.69
85364,2018,34.1
85364,2019,34.08
85364,2020,31.24
85364,2021,30.58
85364,2022,27.93
85364,2023,25.15
85365,2018,34.1
85365,2019,34.08
85365,2020,31.24
85365,2021,30.58
85365,2022,27.93
85365,2023,25.15
85366,2018,34.1
85366,2019,34.08
85366,2020,31.24
85366,2021,30.58
85366,2022,27.93
85366,2023,25.15
85367,2018,34.1
85367,2019,34.08
85367,2020,31.24
85367,2021,30.58
