2018,2019,2020,2021,2022,2023,zipcode
112836.0,132948.0,131515.0,145471.0,154505.0,163407.0,1867
97853.0,102934.0,105480.0,112917.0,120891.0,126795.0,1876
109485.0,113489.0,114313.0,130509.0,140901.0,144167.0,1879
95954.0,100693.0,104609.0,110878.0,125707.0,130419.0,1880
141173.0,144917.0,149437.0,161076.0,174424.0,181523.0,1886
122813.0,125922.0,133873.0,146250.0,151034.0,161473.0,1887
159536.0,169623.0,173058.0,184844.0,208531.0,218176.0,1890
22788.0,24446.0,26403.0,24207.0,20699.0,27561.0,1901
43956.0,46224.0,52834.0,53802.0,59445.0,66755.0,1902
85309.0,81788.0,87639.0,94006.0,94809.0,100597.0,1904
60417.0,62927.0,62623.0,64885.0,74792.0,84341.0,1905
80253.0,88630.0,88348.0,93737.0,96064.0,100819.0,1906
113078.0,112761.0,100927.0,112668.0,116161.0,127714.0,1907
90741.0,97778.0,94243.0,99456.0,105867.0,111004.0,1908
80721.0,82468.0,81027.0,87433.0,91010.0,100599.0,1913
79483.0,80586.0,84354.0,89076.0,98474.0,102347.0,1915
174340.0,184007.0,179375.0,186899.0,203750.0,190526.0,1921
90489.0,128083.0,176250.0,193667.0,197583.0,179896.0,1922
84842.0,89250.0,99269.0,105654.0,116636.0,117072.0,1923
113469.0,106283.0,109323.0,115670.0,133026.0,151509.0,1929
65377.0,72574.0,76260.0,82984.0,84465.0,87898.0,1930
90557.0,93212.0,103941.0,111701.0,123266.0,124405.0,1938
119876.0,119602.0,136023.0,144116.0,157955.0,171044.0,1940
124025.0,148854.0,178250.0,193279.0,209052.0,197875.0,1944
115511.0,123333.0,131293.0,154049.0,163561.0,164325.0,1945
102604.0,125204.0,145525.0,155482.0,168245.0,171458.0,1949
103220.0,109839.0,110740.0,115807.0,127306.0,144259.0,1950
97083.0,95345.0,115719.0,122344.0,163077.0,175779.0,1951
78355.0,81626.0,81755.0,92048.0,97237.0,102521.0,1952
68214.0,73290.0,80679.0,83539.0,91032.0,95173.0,1960
N/A,N/A,N/A,223570.0,241003.0,250000.0,1965
81681.0,85208.0,87149.0,88377.0,95091.0,93227.0,1966
114063.0,115909.0,118851.0,124196.0,135396.0,117177.0,1969
65495.0,68860.0,66495.0,72994.0,79267.0,85189.0,1970
133333.0,127813.0,115203.0,116955.0,139250.0,127137.0,1982
