year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2020,85061,N/A,51.71,N/A,N/A
2021,85061,N/A,56.86,N/A,N/A
2022,85061,N/A,53.64,N/A,N/A
2023,85061,N/A,48.42,N/A,N/A
2018,85062,N/A,57.67,N/A,N/A
2019,85062,N/A,56.76,N/A,N/A
2020,85062,N/A,51.71,N/A,N/A
2021,85062,N/A,56.86,N/A,N/A
2022,85062,N/A,53.64,N/A,N/A
2023,85062,N/A,48.42,N/A,N/A
2018,85063,N/A,57.67,N/A,N/A
2019,85063,N/A,56.76,N/A,N/A
2020,85063,N/A,51.71,N/A,N/A
2021,85063,N/A,56.86,N/A,N/A
2022,85063,N/A,53.64,N/A,N/A
2023,85063,N/A,48.42,N/A,N/A
2018,85064,N/A,57.67,N/A,N/A
2019,85064,N/A,56.76,N/A,N/A
2020,85064,N/A,51.71,N/A,N/A
2021,85064,N/A,56.86,N/A,N/A
2022,85064,N/A,53.64,N/A,N/A
2023,85064,N/A,48.42,N/A,N/A
2018,85065,N/A,55.56,N/A,N/A
2019,85065,N/A,54.57,N/A,N/A
2020,85065,N/A,49.62,N/A,N/A
2021,85065,N/A,54.65,N/A,N/A
2022,85065,N/A,51.74,N/A,N/A
2023,85065,N/A,46.73,N/A,N/A
2018,85066,N/A,57.67,N/A,N/A
2019,85066,N/A,56.76,N/A,N/A
2020,85066,N/A,51.71,N/A,N/A
2021,85066,N/A,56.86,N/A,N/A
2022,85066,N/A,53.64,N/A,N/A
2023,85066,N/A,48.42,N/A,N/A
2018,85067,N/A,57.67,N/A,N/A
2019,85067,N/A,56.76,N/A,N/A
2020,85067,N/A,51.71,N/A,N/A
2021,85067,N/A,56.86,N/A,N/A
2022,85067,N/A,53.64,N/A,N/A
2023,85067,N/A,48.42,N/A,N/A
2018,85068,N/A,57.67,N/A,N/A
2019,85068,N/A,56.76,N/A,N/A
2020,85068,N/A,51.71,N/A,N/A
2021,85068,N/A,56.86,N/A,N/A
2022,85068,N/A,53.64,N/A,N/A
2023,85068,N/A,48.42,N/A,N/A
2018,85069,N/A,57.67,N/A,N/A
2019,85069,N/A,56.76,N/A,N/A
2020,85069,N/A,51.71,N/A,N/A
2021,85069,N/A,56.86,N/A,N/A
2022,85069,N/A,53.64,N/A,N/A
2023,85069,N/A,48.42,N/A,N/A
2018,85070,N/A,57.67,N/A,N/A
2019,85070,N/A,56.76,N/A,N/A
2020,85070,N/A,51.71,N/A,N/A
2021,85070,N/A,56.86,N/A,N/A
2022,85070,N/A,53.64,N/A,N/A
2023,85070,N/A,48.42,N/A,N/A
2018,85071,N/A,57.67,N/A,N/A
2019,85071,N/A,56.76,N/A,N/A
2020,85071,N/A,51.71,N/A,N/A
2021,85071,N/A,56.86,N/A,N/A
2022,85071,N/A,53.64,N/A,N/A
2023,85071,N/A,48.42,N/A,N/A
2018,85072,N/A,57.67,N/A,N/A
2019,85072,N/A,56.76,N/A,N/A
2020,85072,N/A,51.71,N/A,N/A
2021,85072,N/A,56.86,N/A,N/A
2022,85072,N/A,53.64,N/A,N/A
2023,85072,N/A,48.42,N/A,N/A
2018,85073,N/A,55.56,N/A,N/A
2019,85073,N/A,54.57,N/A,N/A
2020,85073,N/A,49.62,N/A,N/A
2021,85073,N/A,54.65,N/A,N/A
2022,85073,N/A,51.74,N/A,N/A
2023,85073,N/A,46.73,N/A,N/A
2018,85074,N/A,57.67,N/A,N/A
2019,85074,N/A,56.76,N/A,N/A
2020,85074,N/A,51.71,N/A,N/A
2021,85074,N/A,56.86,N/A,N/A
2022,85074,N/A,53.64,N/A,N/A
2023,85074,N/A,48.42,N/A,N/A
2018,85075,N/A,55.56,N/A,N/A
2019,85075,N/A,54.57,N/A,N/A
2020,85075,N/A,49.62,N/A,N/A
2021,85075,N/A,54.65,N/A,N/A
2022,85075,N/A,51.74,N/A,N/A
2023,85075,N/A,46.73,N/A,N/A
2018,85076,N/A,57.67,N/A,N/A
2019,85076,N/A,56.76,N/A,N/A
2020,85076,N/A,51.71,N/A,N/A
2021,85076,N/A,56.86,N/A,N/A
2022,85076,N/A,53.64,N/A,N/A
2023,85076,N/A,48.42,N/A,N/A
2018,85077,N/A,55.56,N/A,N/A
2019,85077,N/A,54.57,N/A,N/A
2020,85077,N/A,49.62,N/A,N/A
2021,85077,N/A,54.65,N/A,N/A
2022,85077,N/A,51.74,N/A,N/A
2023,85077,N/A,46.73,N/A,N/A
2018,85078,N/A,57.67,N/A,N/A
2019,85078,N/A,56.76,N/A,N/A
2020,85078,N/A,51.71,N/A,N/A
2021,85078,N/A,56.86,N/A,N/A
2022,85078,N/A,53.64,N/A,N/A
2023,85078,N/A,48.42,N/A,N/A
2018,85079,N/A,57.67,N/A,N/A
2019,85079,N/A,56.76,N/A,N/A
2020,85079,N/A,51.71,N/A,N/A
2021,85079,N/A,56.86,N/A,N/A
2022,85079,N/A,53.64,N/A,N/A
2023,85079,N/A,48.42,N/A,N/A
2018,85080,N/A,57.67,N/A,N/A
2019,85080,N/A,56.76,N/A,N/A
2020,85080,N/A,51.71,N/A,N/A
2021,85080,N/A,56.86,N/A,N/A
2022,85080,N/A,53.64,N/A,N/A
2023,85080,N/A,48.42,N/A,N/A
2018,85082,N/A,57.67,N/A,N/A
2019,85082,N/A,56.76,N/A,N/A
2020,85082,N/A,51.71,N/A,N/A
2021,85082,N/A,56.86,N/A,N/A
2022,85082,N/A,53.64,N/A,N/A
2023,85082,N/A,48.42,N/A,N/A
2018,85083,109750.0,57.67,N/A,376369.86
2019,85083,120174.0,56.76,N/A,390360.88
2020,85083,124430.0,51.71,N/A,418637.31
2021,85083,136577.0,56.86,N/A,526690.94
2022,85083,149058.0,53.64,N/A,638981.86
2023,85083,157437.0,48.42,N/A,612642.72
2018,85085,87058.0,57.67,N/A,383913.28
2019,85085,96003.0,56.76,N/A,399702.39
2020,85085,98714.0,51.71,N/A,428628.91
2021,85085,105966.0,56.86,N/A,536198.63
2022,85085,112928.0,53.64,N/A,656156.81
2023,85085,122138.0,48.42,N/A,634306.44
2018,85086,99982.0,57.67,N/A,361482.06
2019,85086,101856.0,56.76,N/A,379409.14
2020,85086,103122.0,51.71,N/A,411790.53
2021,85086,108874.0,56.86,N/A,522017.85
2022,85086,114775.0,53.64,N/A,641025.68
2023,85086,118543.0,48.42,N/A,615270.24
2018,85087,71295.0,57.67,N/A,366869.2
2019,85087,72181.0,56.76,N/A,386152.64
2020,85087,92528.0,51.71,N/A,416338.08
2021,85087,103824.0,56.86,N/A,515928.6
2022,85087,112614.0,53.64,N/A,620981.63
2023,85087,120688.0,48.42,N/A,600212.17
2018,85097,N/A,55.56,N/A,N/A
2019,85097,N/A,54.57,N/A,N/A
2020,85097,N/A,49.62,N/A,N/A
2021,85097,N/A,54.65,N/A,N/A
2022,85097,N/A,51.74,N/A,N/A
2023,85097,N/A,46.73,N/A,N/A
2018,85098,N/A,55.56,N/A,N/A
2019,85098,N/A,54.57,N/A,N/A
2020,85098,N/A,49.62,N/A,N/A
2021,85098,N/A,54.65,N/A,N/A
2022,85098,N/A,51.74,N/A,N/A
2023,85098,N/A,46.73,N/A,N/A
2018,85099,N/A,55.56,N/A,N/A
2019,85099,N/A,54.57,N/A,N/A
2020,85099,N/A,49.62,N/A,N/A
2021,85099,N/A,54.65,N/A,N/A
2022,85099,N/A,51.74,N/A,N/A
2023,85099,N/A,46.73,N/A,N/A
2018,85117,N/A,36.89,N/A,N/A
2019,85117,N/A,38.06,N/A,N/A
2020,85117,N/A,33.94,N/A,N/A
